iter	MultiClass
0	1.015213589
1	0.9430866865
2	0.8783390066
3	0.8216128229
4	0.7719318789
5	0.7260288071
6	0.685380331
7	0.6481599976
8	0.6140865949
9	0.5826198274
10	0.5540256651
11	0.5276762283
12	0.5036443138
13	0.4812349576
14	0.4602713941
15	0.4406240571
16	0.4228637259
17	0.406736543
18	0.3912120442
19	0.3769291285
20	0.3632046751
21	0.3507158402
22	0.3383010518
23	0.3267229763
24	0.3160987543
25	0.3064125688
26	0.2975916364
27	0.2888873056
28	0.280590869
29	0.2733771171
30	0.2662260244
31	0.2594679932
32	0.2531113641
33	0.2474495902
34	0.241690646
35	0.2361869004
36	0.2312324504
37	0.2265595373
38	0.2219113141
39	0.2171639292
40	0.2124412722
41	0.2086630813
42	0.2048718418
43	0.2011836427
44	0.1979754683
45	0.1947236663
46	0.1918741202
47	0.1891011395
48	0.1862075809
49	0.1835918109
50	0.1809492813
51	0.1784715412
52	0.1760035725
53	0.1735277307
54	0.1713465262
55	0.1692545223
56	0.1674152474
57	0.1650424768
58	0.1625412484
59	0.1613103295
60	0.1598757073
61	0.1579601733
62	0.1560517789
63	0.154361901
64	0.1532528684
65	0.1521879671
66	0.1510123252
67	0.149876126
68	0.1486414029
69	0.1471189207
70	0.1460568639
71	0.1448223616
72	0.1432938859
73	0.1421573022
74	0.1409529944
75	0.1395351838
76	0.1383804894
77	0.1369476293
78	0.135808411
79	0.1349419754
80	0.1342429491
81	0.1335935548
82	0.1325776599
83	0.132078064
84	0.1314629402
85	0.1306216294
86	0.1290614725
87	0.1285227025
88	0.1275659904
89	0.1264300124
90	0.1252343996
91	0.1240632226
92	0.1232540205
93	0.1226270713
94	0.1221201348
95	0.1215944154
96	0.1211740424
97	0.1207625386
98	0.1201775775
99	0.1199261713
100	0.1195562808
101	0.1189517269
102	0.1184205641
103	0.1180624093
104	0.1175873015
105	0.1172493424
106	0.1168328525
107	0.1161916959
108	0.1157966483
109	0.1150121409
110	0.114392181
111	0.1140198264
112	0.1136817578
113	0.1131306771
114	0.1125236643
115	0.1122739839
116	0.1119010855
117	0.1116280401
118	0.1112461954
119	0.1108286207
120	0.1103354507
121	0.1097352171
122	0.1090983529
123	0.1086718099
124	0.1083895443
125	0.1082852851
126	0.1078942654
127	0.1075404055
128	0.1072065161
129	0.1065925387
130	0.1061586008
131	0.1055781336
132	0.1050250592
133	0.1043152997
134	0.1040027984
135	0.1038065471
136	0.1034463854
137	0.1032011016
138	0.1027381841
139	0.1024981796
140	0.1021548174
141	0.1017790772
142	0.101735843
143	0.1012807863
144	0.100913455
145	0.1004918388
146	0.1003092908
147	0.1001767553
148	0.09998476784
149	0.0997965205
150	0.09953263358
151	0.09918527552
152	0.09900947358
153	0.09867047377
154	0.09838299354
155	0.09797577229
156	0.09755559205
157	0.09732358002
158	0.09713683538
159	0.09684905611
160	0.09661798411
161	0.09641609912
162	0.09620680136
163	0.09601492637
164	0.09567460612
165	0.09553023734
166	0.09508358951
167	0.09491579914
168	0.09457367214
169	0.09426092588
170	0.09412939068
171	0.09393711776
172	0.09383065997
173	0.09347145958
174	0.09321516357
175	0.09308271357
176	0.09271889317
177	0.09236464598
178	0.09203122344
179	0.09186895933
180	0.09174336345
181	0.09137473547
182	0.09117026846
183	0.09087714168
184	0.0904921086
185	0.09041738835
186	0.09022609874
187	0.09002089818
188	0.0897801619
189	0.08953604962
190	0.08918708869
191	0.08907058138
192	0.08892386907
193	0.08873007993
194	0.08841812483
195	0.08826448854
196	0.08799055313
197	0.08773109873
198	0.0876662853
199	0.08741271242
200	0.08706997027
201	0.08658128863
202	0.08652663661
203	0.08622104968
204	0.08608442183
205	0.08599291328
206	0.08571686728
207	0.08518223552
208	0.08487515532
209	0.08471557123
210	0.08433565103
211	0.08405919522
212	0.08382352368
213	0.08338326217
214	0.08329323382
215	0.08316344708
216	0.08303918906
217	0.08294514816
218	0.08275692542
219	0.08265163281
220	0.08238535968
221	0.0823110154
222	0.08223377964
223	0.08205041384
224	0.08196352582
225	0.08158897908
226	0.08145193384
227	0.08107439085
228	0.08101591441
229	0.08084955922
230	0.08079000366
231	0.08043796329
232	0.08031578277
233	0.07986833695
234	0.0797483069
235	0.07959999504
236	0.07942847942
237	0.07901247263
238	0.07871094867
239	0.07856846693
240	0.07847020421
241	0.07838535798
242	0.07831089051
243	0.07802463618
244	0.07783814563
245	0.0777813537
246	0.07758130517
247	0.07729795256
248	0.07691183865
249	0.07667359935
250	0.07654373244
251	0.07620006685
252	0.07606321994
253	0.07598408119
254	0.07587289729
255	0.07564516165
256	0.0752896366
257	0.07524468963
258	0.07518008812
259	0.07505050377
260	0.07499547823
261	0.07483384624
262	0.07473382837
263	0.07457561696
264	0.07439858789
265	0.07405370171
266	0.07400597998
267	0.0737127218
268	0.07366435998
269	0.07356596269
270	0.07326574784
271	0.07319032478
272	0.07299178172
273	0.07284039344
274	0.07277748191
275	0.07235612833
276	0.07214786008
277	0.07198704104
278	0.07166290999
279	0.07155479047
280	0.07144451356
281	0.07143683047
282	0.07130720551
283	0.07110197525
284	0.07081061122
285	0.07075480353
286	0.07070148643
287	0.07031339809
288	0.07017697673
289	0.07014655524
290	0.07005165481
